subscription_id,customer_id,month,monthly_fee
S-1020-202410,1020,2024-10,200
S-1020-202411,1020,2024-11,200
S-1020-202412,1020,2024-12,200
S-1020-202501,1020,2025-01,200
S-1020-202502,1020,2025-02,200
S-1020-202503,1020,2025-03,200
S-1020-202504,1020,2025-04,200
S-1021-202404,1021,2024-04,200
S-1021-202405,1021,2024-05,200
S-1023-202412,1023,2024-12,50
S-1023-202501,1023,2025-01,50
S-1023-202502,1023,2025-02,50
S-1023-202503,1023,2025-03,50
S-1023-202504,1023,2025-04,50
S-1023-202505,1023,2025-05,50
S-1023-202506,1023,2025-06,50
S-1026-202503,1026,2025-03,200
S-1026-202504,1026,2025-04,200
S-1026-202505,1026,2025-05,200
S-1031-202404,1031,2024-04,200
S-1031-202405,1031,2024-05,200
S-1031-202406,1031,2024-06,200
S-1031-202407,1031,2024-07,200
S-1031-202408,1031,2024-08,200
S-1031-202409,1031,2024-09,200
S-1031-202410,1031,2024-10,200
S-1031-202411,1031,2024-11,200
S-1031-202412,1031,2024-12,200
S-1034-202404,1034,2024-04,50
S-1034-202405,1034,2024-05,50
S-1034-202406,1034,2024-06,50
S-1034-202407,1034,2024-07,50
S-1034-202408,1034,2024-08,50
S-1034-202409,1034,2024-09,50
S-1034-202410,1034,2024-10,50
S-1034-202411,1034,2024-11,50
S-1034-202412,1034,2024-12,50
S-1034-202501,1034,2025-01,50
S-1034-202502,1034,2025-02,50
S-1034-202503,1034,2025-03,50
S-1034-202504,1034,2025-04,50
S-1035-202407,1035,2024-07,50
S-1035-202408,1035,2024-08,50
S-1035-202409,1035,2024-09,50
S-1035-202410,1035,2024-10,50
S-1035-202411,1035,2024-11,50
S-1035-202412,1035,2024-12,50
S-1035-202501,1035,2025-01,50
S-1035-202502,1035,2025-02,50
S-1035-202503,1035,2025-03,50
S-1035-202504,1035,2025-04,50
S-1042-202404,1042,2024-04,200
S-1042-202405,1042,2024-05,200
S-1042-202406,1042,2024-06,200
S-1042-202407,1042,2024-07,200
S-1042-202408,1042,2024-08,200
S-1042-202409,1042,2024-09,200
S-1042-202410,1042,2024-10,200
S-1042-202411,1042,2024-11,200
S-1042-202412,1042,2024-12,200
S-1042-202501,1042,2025-01,200
S-1042-202502,1042,2025-02,200
S-1042-202503,1042,2025-03,200
S-1043-202501,1043,2025-01,500
S-1043-202502,1043,2025-02,500
S-1047-202501,1047,2025-01,50
S-1047-202502,1047,2025-02,50
S-1047-202503,1047,2025-03,50
S-1047-202504,1047,2025-04,50
S-1056-202410,1056,2024-10,200
S-1056-202411,1056,2024-11,200
S-1056-202412,1056,2024-12,200
S-1060-202503,1060,2025-03,50
S-1060-202504,1060,2025-04,50
S-1060-202505,1060,2025-05,50
S-1062-202505,1062,2025-05,200
S-1074-202408,1074,2024-08,500
S-1074-202409,1074,2024-09,500
S-1074-202410,1074,2024-10,500
S-1074-202411,1074,2024-11,500
S-1074-202412,1074,2024-12,500
S-1074-202501,1074,2025-01,500
S-1074-202502,1074,2025-02,500
S-1074-202503,1074,2025-03,500
S-1074-202504,1074,2025-04,500
S-1074-202505,1074,2025-05,500
S-1075-202410,1075,2024-10,500
S-1075-202411,1075,2024-11,500
S-1075-202412,1075,2024-12,500
S-1075-202501,1075,2025-01,500
S-1075-202502,1075,2025-02,500
S-1075-202503,1075,2025-03,500
S-1075-202504,1075,2025-04,500
S-1075-202505,1075,2025-05,500
S-1075-202506,1075,2025-06,500
S-1085-202410,1085,2024-10,50
S-1085-202411,1085,2024-11,50
S-1085-202412,1085,2024-12,50
S-1085-202501,1085,2025-01,50
S-1085-202502,1085,2025-02,50
S-1085-202503,1085,2025-03,50
S-1085-202504,1085,2025-04,50
S-1095-202405,1095,2024-05,500
S-1095-202406,1095,2024-06,500
S-1095-202407,1095,2024-07,500
S-1095-202408,1095,2024-08,500
S-1119-202407,1119,2024-07,500
S-1119-202408,1119,2024-08,500
S-1119-202409,1119,2024-09,500
S-1119-202410,1119,2024-10,500
S-1119-202411,1119,2024-11,500
